  GMT_timestamp, AFM_MET_time, AFM_upp_time, AFM_mode, AFM_fdir_imu_fail_flag, AFM_fdir_gps_fail_flag, AFM_fdir_star_tracker_fail_flag, AFM_fdir_strike_count_imu, AFM_fdir_strike_count_gps, AFM_fdir_strike_count_star_tracker, AFM_fdir_num_resets_imu, AFM_fdir_num_resets_gps, AFM_fdir_num_resets_star_tracker, AFM_fdir_loss_of_imu, AFM_fdir_loss_of_gps, AFM_fdir_loss_of_star_tracker, CNTRL_mass_total, CNTRL_mass_prop_used, CNTRL_jet_on_times_0, CNTRL_jet_on_times_1, CNTRL_jet_on_times_2, CNTRL_jet_on_times_3, CNTRL_jet_on_times_4, CNTRL_jet_on_times_5, CNTRL_jet_on_times_6, DIO_powerOut_star_tracker, DIO_powerOut_gps, DIO_powerOut_imu, DIO_powerOut_pgnc_sys, DIO_chuteOut_super_drogue_deploy, DIO_chuteOut_parafoil_deploy, UPP_ecef_longitude, UPP_ecef_gd_latitude, UPP_ecef_gd_altitude, UPP_esef_ground_ref_0_R_sc_cg_wrt_gp_ECEF_0, UPP_esef_ground_ref_0_R_sc_cg_wrt_gp_ECEF_1, UPP_esef_ground_ref_0_R_sc_cg_wrt_gp_ECEF_2, UPP_ecef_V_sc_cg_wrt_ecef_0, UPP_ecef_V_sc_cg_wrt_ecef_1, UPP_ecef_V_sc_cg_wrt_ecef_2, UPP_ecef_DV_accum_imu_ecef_0, UPP_ecef_DV_accum_imu_ecef_1, UPP_ecef_DV_accum_imu_ecef_2, UPP_esef_flight_path_angle, UPP_rot_Q_INRTL_to_STRUCT_RAW_s, UPP_rot_Q_INRTL_to_STRUCT_RAW_v_0, UPP_rot_Q_INRTL_to_STRUCT_RAW_v_1, UPP_rot_Q_INRTL_to_STRUCT_RAW_v_2, UPP_rot_T_INRTL_to_ECEF_0_0, UPP_rot_T_INRTL_to_ECEF_0_1, UPP_rot_T_INRTL_to_ECEF_0_2, UPP_rot_T_INRTL_to_ECEF_1_0, UPP_rot_T_INRTL_to_ECEF_1_1, UPP_rot_T_INRTL_to_ECEF_1_2, UPP_rot_T_INRTL_to_ECEF_2_0, UPP_rot_T_INRTL_to_ECEF_2_1, UPP_rot_T_INRTL_to_ECEF_2_2
16-015-08:36:26.3,18.812911,1072617261,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.944752929,0.876618698,152975.5407,-4105551.531,818737.2789,4996525.904,90.12023251,-7494.858156,1066.216207,0.401990033,-0.274026556,0.384157419,-0.023091285,0.454279829,0.04669976,-0.782750836,0.422788479,0.491932025,-0.870633315,-0.00071691,0.870632513,0.491932546,-0.001181967,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:26.3,19.813157,1072617262,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.945627806,0.876762061,152888.1367,-4105506.044,814994.2044,4997057.229,92.51562534,-7495.427311,1062.629567,0.413742654,-0.283500048,0.397216991,-0.023085461,0.45404553,0.046796195,-0.782890343,0.422771195,0.491963732,-0.870615399,-0.000716953,0.870614598,0.491964252,-0.001181941,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:27.3,19.813157,1072617262,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.946503794,0.876905169,152800.6666,-4105459.198,811247.4982,4997587.322,94.89702688,-7496.002677,1059.037315,0.426739309,-0.292939325,0.408182739,-0.023078587,0.453808511,0.046962111,-0.783014902,0.422776607,0.491995463,-0.870597468,-0.000716996,0.870596666,0.491995983,-0.001181915,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:27.3,20.812106,1072617263,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.947414178,0.877053412,152709.8797,-4105409.284,807354.8951,4998136.175,97.37633975,-7496.598891,1055.321488,0.442525547,-0.297823698,0.416444317,-0.023070206,0.453582452,0.047061972,-0.783150093,0.422757688,0.49202843,-0.870578836,-0.00071704,0.870578035,0.49202895,-0.001181888,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:28.3,20.812106,1072617263,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.948292826,0.877196022,152622.2884,-4105359.859,803599.1542,4998663.857,99.76739072,-7497.189279,1051.720994,0.453799162,-0.300941531,0.427851772,-0.023063805,0.45332884,0.047216778,-0.783293827,0.422746164,0.492060232,-0.870560862,-0.000717084,0.870560061,0.492060752,-0.001181862,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:28.3,21.813998,1072617264,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.949171479,0.877338157,152534.8124,-4105309.358,799844.5609,4999189.526,102.1323532,-7497.776491,1048.123401,0.463955924,-0.309094021,0.444108948,-0.023055096,0.45309577,0.047310422,-0.783441802,0.422711355,0.49209202,-0.870542894,-0.000717127,0.870542093,0.49209254,-0.001181836,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:29.3,21.813998,1072617264,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.950048964,0.87747966,152447.3462,-4105257.549,796096.0605,4999712.456,104.5175718,-7498.364816,1044.516124,0.474433953,-0.315422506,0.453541045,-0.02305002,0.452860367,0.047470263,-0.783560532,0.422725625,0.492123757,-0.870524953,-0.00071717,0.870524152,0.492124278,-0.00118181,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:29.3,22.813238,1072617265,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.950924424,0.877620381,152360.1167,-4105204.66,792357.3431,5000232.189,106.9012738,-7498.94586,1040.913841,0.486073131,-0.324343764,0.464875759,-0.023045735,0.452629096,0.047578693,-0.783693786,0.42271411,0.492155409,-0.870507059,-0.000717213,0.870506258,0.492155929,-0.001181783,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:30.3,22.813238,1072617265,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.95180247,0.877761044,152272.7376,-4105150.541,788608.7334,5000751.45,109.3175319,-7499.517095,1037.306461,0.50184993,-0.333288608,0.471311141,-0.023043026,0.452395408,0.047763339,-0.783813721,0.422721078,0.492187137,-0.87048912,-0.000717256,0.870488318,0.492187658,-0.001181757,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:30.3,23.813181,1072617266,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.952682538,0.877901572,152185.1081,-4105095.036,784852.621,5001269.841,111.717321,-7500.093144,1033.682668,0.520995999,-0.338191096,0.4747463,-0.023039547,0.452187165,0.04785341,-0.783942118,0.422695606,0.492218927,-0.870471145,-0.000717299,0.870470343,0.492219448,-0.001181731,0.001381731,-4.27171E-05,0.999999044
